movie_id,neighbor_movie_id,similarity_score
19995,597,0.5925671037939075
19995,280,0.44400470510213785
19995,36955,0.43994978267676216
19995,5925,0.3547360664534818
19995,14275,0.34448640913096906
19995,218500,0.3120432397071483
19995,218,0.29363114626978626
19995,35944,0.28757681050621636
19995,68718,0.28565777017902527
19995,42497,0.28526184792336146
285,58,0.7664191894673176
285,22,0.5860852625338311
285,1865,0.488901207038705
285,57201,0.4637247571636693
285,44896,0.28226724349092913
285,808,0.24294935736466242
285,855,0.1987767469347238
285,9470,0.17533359609241805
285,9342,0.17494960673627816
285,676,0.1648085632718039
206647,37724,0.5933661039639303
206647,101173,0.29814239699997197
206647,2268,0.28022426915890253
206647,10890,0.2685430777647874
206647,783,0.2525907427704613
206647,10681,0.24853371169310862
206647,671,0.22681617718163874
206647,62211,0.22271770159368703
206647,4147,0.21808918607248967
206647,126186,0.2154101092138323
49026,155,0.7863293772334405
49026,27205,0.7222227267680053
49026,272,0.6625413488689132
49026,1124,0.6326266278117372
49026,157336,0.6135140280436617
49026,77,0.48075017537254333
49026,49521,0.4583011673997352
49026,157353,0.33815538672121986
49026,13785,0.25438386528639634
49026,209112,0.24673188560991338
49529,10681,0.3356643640634857
49529,862,0.3315018176404687
49529,12,0.31051867186111043
49529,9487,0.3053857783007297
49529,863,0.2764294762875764
49529,585,0.2589661986891187
49529,140823,0.23002185311411805
49529,10193,0.22739701341354884
49529,10865,0.21744269101781405
49529,1271,0.21531408048872458
559,558,0.6062754572551409
559,557,0.4441155916843275
559,1930,0.3763089045031909
559,16871,0.2964997266644405
559,766,0.292152362922538
559,764,0.28446279355845633
559,1927,0.2804840970025372
559,1726,0.2658047665355975
559,14275,0.25476233268253407
559,26306,0.22645540682891918
38757,62764,0.28953301207179316
38757,13053,0.2864459496157732
38757,10198,0.25515518153991446
38757,10545,0.25000000000000006
38757,10179,0.21997067253202995
38757,783,0.21650635094610968
38757,479,0.21606040536255622
38757,13994,0.21029775604801498
38757,15301,0.21029775604801498
38757,13700,0.20833333333333337
99861,24428,0.628599937151554
99861,271110,0.5056958712892092
99861,118340,0.44982345106024185
99861,10138,0.4450123667345042
99861,100402,0.43902705525372276
99861,68721,0.3922322702763681
99861,76338,0.36376641863427606
99861,11544,0.3170114791543561
99861,1726,0.306697807541074
99861,10195,0.28504385627478446
767,675,0.7621208131672653
767,674,0.6173309979059933
767,673,0.5954068852869262
767,672,0.512182216897691
767,671,0.44621074825316
767,304357,0.2195121951219512
767,258489,0.20723908457632684
767,710,0.19278507708475193
767,116149,0.19127301391900148
767,550,0.19053020329181639
209112,49521,0.580464557543441
209112,142061,0.2946278254943948
209112,1271,0.2842867663420888
209112,8285,0.2749859704614352
209112,71676,0.2553441154284755
209112,9659,0.25064020591380154
209112,49026,0.24673188560991338
209112,155,0.24428495910091946
209112,1124,0.24224069756247724
209112,36648,0.2314550249431379
1452,36658,0.5199469468957453
1452,36657,0.4259217009643013
1452,2253,0.3426901876863411
1452,81005,0.31672303298595833
1452,246655,0.30644818740323665
1452,629,0.28729517569053437
1452,49538,0.227429413073671
