movie_id,closest_movie_ids,similarity_scores
58,"[107315, 16205, 75612, 22, 1865, 14778, 11024, 10283, 7552, 654]","[0.4602489173412323, 0.4407971501350403, 0.42367392778396606, 0.4234308898448944, 0.4234170913696289, 0.41704609990119934, 0.4120873212814331, 0.4107688069343567, 0.41031986474990845, 0.409679651260376]"
57201,"[38665, 98549, 576, 6977, 8053, 10623, 9730, 34851, 14854, 10225]","[0.6762733459472656, 0.6016273498535156, 0.5480833053588867, 0.5126417875289917, 0.4981616735458374, 0.48285555839538574, 0.48273736238479614, 0.4762676954269409, 0.474712610244751, 0.46120914816856384]"
49521,"[2270, 16353, 16577, 11459, 228326, 198663, 166424, 44835, 35691, 1954]","[0.5751816034317017, 0.5607354044914246, 0.5390739440917969, 0.5324972867965698, 0.508818507194519, 0.5072885155677795, 0.5038142800331116, 0.5034307241439819, 0.5034104585647583, 0.5001863837242126]"
2454,"[411, 266647, 673, 9760, 10140, 35019, 109445, 11283, 848, 59981]","[0.708849310874939, 0.5663602352142334, 0.5309588313102722, 0.515257716178894, 0.5027135014533997, 0.4937749207019806, 0.49324363470077515, 0.4906908869743347, 0.4869977831840515, 0.48230695724487305]"
24428,"[11398, 10133, 3989, 75674, 169, 68721, 144336, 70981, 59961, 955]","[0.5205402374267578, 0.5003010034561157, 0.4919446110725403, 0.4685556888580322, 0.4574204981327057, 0.4554728865623474, 0.45385751128196716, 0.4317645728588104, 0.4298969507217407, 0.4292178153991699]"
1865,"[22, 5994, 18808, 72197, 16205, 11128, 14474, 9441, 107315, 14113]","[0.6143185496330261, 0.5762602090835571, 0.5651617050170898, 0.5544379949569702, 0.5335500836372375, 0.5253714323043823, 0.5246402621269226, 0.4979436993598938, 0.49383318424224854, 0.46592631936073303]"
41154,"[607, 608, 168, 46529, 65086, 54138, 188652, 100402, 10285, 169]","[0.6461100578308105, 0.5701231956481934, 0.53208327293396, 0.5250147581100464, 0.5093387961387634, 0.4633811414241791, 0.4612475037574768, 0.460814893245697, 0.4545034170150757, 0.4514291286468506]"
122917,"[57158, 257932, 121, 120, 122, 11253, 68735, 49051, 8840, 2310]","[0.6202482581138611, 0.6058679819107056, 0.5992587804794312, 0.562207043170929, 0.5527023673057556, 0.5267980098724365, 0.5191198587417603, 0.5189650654792786, 0.4944031834602356, 0.4855043590068817]"
1930,"[102382, 558, 557, 41733, 879, 266647, 559, 52790, 16538, 11812]","[0.7851096987724304, 0.7254772782325745, 0.5967636704444885, 0.5831097364425659, 0.5676001310348511, 0.5655691027641296, 0.5372328758239746, 0.5143200159072876, 0.5088884830474854, 0.49455904960632324]"
20662,"[8367, 10786, 6038, 9691, 22301, 11780, 22908, 10549, 1250, 10192]","[0.6417941451072693, 0.5410832166671753, 0.5301158428192139, 0.49599725008010864, 0.4918239712715149, 0.4868168830871582, 0.47261032462120056, 0.46345025300979614, 0.46329471468925476, 0.4591788649559021]"
57158,"[49051, 122917, 121, 120, 122, 10501, 810, 27551, 848, 59981]","[0.6307663321495056, 0.6202482581138611, 0.5781780481338501, 0.5604791045188904, 0.5001324415206909, 0.43888717889785767, 0.42883020639419556, 0.42368578910827637, 0.4190957546234131, 0.40036076307296753]"
2268,"[50037, 702, 1417, 91586, 280092, 16028, 5255, 152599, 9009, 144340]","[0.4675636887550354, 0.4187934696674347, 0.409186989068985, 0.4087224304676056, 0.4060394763946533, 0.4058034420013428, 0.4049980938434601, 0.40241551399230957, 0.40116310119628906, 0.3955835700035095]"
254,"[11426, 6068, 4960, 1103, 5137, 12404, 1729, 9306, 77459, 9360]","[0.444866806268692, 0.4409456253051758, 0.43778663873672485, 0.434827595949173, 0.4319620728492737, 0.4267370104789734, 0.4202977418899536, 0.40721336007118225, 0.4066874086856842, 0.40566614270210266]"
597,"[211557, 25975, 43959, 32395, 112456, 40001, 45153, 11132, 1808, 77877]","[0.4701269567012787, 0.46272993087768555, 0.4614500403404236, 0.4498368501663208, 0.4299437999725342, 0.42947059869766235, 0.4282650947570801, 0.4275355339050293, 0.42694658041000366, 0.4262281358242035]"
271110,"[99861, 10138, 11411, 10195, 8536, 100402, 297761, 9824, 76338, 11253]","[0.5829423666000366, 0.5273149013519287, 0.523368775844574, 0.5137472152709961, 0.5115660429000854, 0.5079558491706848, 0.47641119360923767, 0.47431379556655884, 0.4725359082221985, 0.46675243973731995]"
44833,"[168, 10416, 146631, 61984, 8814, 39513, 9549, 95, 9570, 10658]","[0.5969404578208923, 0.5878745317459106, 0.5577252507209778, 0.5441123247146606, 0.5362815856933594, 0.5326923131942749, 0.5313345193862915, 0.5259475111961365, 0.5162144899368286, 0.5121578574180603]"
135397,"[330, 329, 35073, 78394, 77951, 12144, 9607, 435, 9488, 9637]","[0.5237466096878052, 0.4976232945919037, 0.4393622875213623, 0.4137219190597534, 0.3824370205402374, 0.3688347041606903, 0.36052727699279785, 0.35493004322052, 0.33369433879852295, 0.32667797803878784]"
37724,"[36670, 657, 10764, 206647, 49517, 58233, 646, 682, 681, 708]","[0.6661405563354492, 0.6102324724197388, 0.591580867767334, 0.5737969875335693, 0.5707000494003296, 0.5232787132263184, 0.5040637254714966, 0.5035070180892944, 0.5018032789230347, 0.4966753125190735]"
558,"[102382, 1930, 559, 557, 9806, 879, 364, 11812, 30943, 266647]","[0.7475175261497498, 0.7254772782325745, 0.6090538501739502, 0.5822782516479492, 0.5482717752456665, 0.52042555809021, 0.5096431970596313, 0.47400766611099243, 0.47051429748535156, 0.46261870861053467]"
68721,"[99861, 24428, 1726, 11468, 12589, 308531, 11398, 10610, 817, 10138]","[0.4910508394241333, 0.4554728865623474, 0.42442941665649414, 0.39980584383010864, 0.3958541750907898, 0.3794997036457062, 0.37715116143226624, 0.3764351010322571, 0.37441039085388184, 0.3738662600517273]"
12155,"[35791, 13538, 10160, 27374, 284293, 34106, 102651, 3558, 1577, 60400]","[0.6267937421798706, 0.5909693837165833, 0.5667116641998291, 0.5582597255706787, 0.5338399410247803, 0.5295286178588867, 0.528193473815918, 0.5263686776161194, 0.5147409439086914, 0.5128827095031738]"
36668,"[36658, 49538, 36657, 127585, 246655, 2080, 9824, 559, 271110, 11411]","[0.6172436475753784, 0.557074785232544, 0.48760780692100525, 0.46914899349212646, 0.437949538230896, 0.4224323630332947, 0.3929902911186218, 0.389775812625885, 0.38718801736831665, 0.37527894973754883]"
62211,"[46435, 225565, 71552, 8976, 19844, 10218, 10521, 244772, 324352, 118452]","[0.48474663496017456, 0.4683213233947754, 0.42251163721084595, 0.41830506920814514, 0.41515880823135376, 0.41454485058784485, 0.4001845121383667, 0.3964937925338745, 0.3838734030723572, 0.38233479857444763]"
8373,"[1858, 38356, 91314, 10681, 1649, 62214, 286217, 39254, 1724, 8916]","[0.6400519609451294, 0.5893089771270752, 0.5271503925323486, 0.5233274102210999, 0.4785681962966919, 0.45330777764320374, 0.44617778062820435, 0.4371013641357422, 0.4333348274230957, 0.42501312494277954]"
91314,"[1858, 38356, 10681, 8373, 199, 331592, 5137, 9607, 16577, 1649]","[0.5971059799194336, 0.575884222984314, 0.5757473707199097, 0.5271503925323486, 0.5181305408477783, 0.51776123046875, 0.5172603130340576, 0.4965202510356903, 0.4930725693702698, 0.4882643222808838]"
68728,"[59981, 4442, 17917, 39780, 38358, 27551, 10545, 848, 2270, 817]","[0.47148123383522034, 0.43619149923324585, 0.4127461910247803, 0.41249650716781616, 0.4113977253437042, 0.4092252254486084, 0.4023457467556, 0.4020557701587677, 0.39890724420547485, 0.398325115442276]"
102382,"[1930, 558, 557, 559, 879, 11812, 266647, 157185, 41733, 16538]","[0.7851096987724304, 0.7475175261497498, 0.6024429202079773, 0.5907689332962036, 0.5589456558227539, 0.5450150370597839, 0.5356556177139282, 0.5242425203323364, 0.5070175528526306, 0.4904288053512573]"
20526,"[10535, 38757, 10413, 251, 203801, 28260, 818, 326, 9978, 211672]","[0.4891672730445862, 0.4672069847583771, 0.4656648337841034, 0.4550214111804962, 0.4505004286766052, 0.44718512892723083, 0.441221684217453, 0.43687862157821655, 0.43590247631073, 0.4356912076473236]"
49013,"[920, 11451, 146227, 136797, 7459, 46727, 10477, 13282, 39055, 2119]","[0.5988431572914124, 0.5001697540283203, 0.4835832417011261, 0.44358545541763306, 0.4390257000923157, 0.4276626408100128, 0.40493303537368774, 0.3985591232776642, 0.3937738537788391, 0.3877198100090027]"
44912,"[11411, 1724, 8536, 10195, 11253, 87421, 76338, 293660, 2789, 14164]","[0.6250747442245483, 0.5919421315193176, 0.5204265117645264, 0.5178436040878296, 0.5129722952842712, 0.5088170766830444, 0.49956294894218445, 0.4760054647922516, 0.47341328859329224, 0.47093528509140015]"
10193,"[863, 862, 11564, 6957, 16340, 13688, 291362, 525, 6795, 10588]","[0.7471630573272705, 0.7285387516021729, 0.5262143015861511, 0.49895498156547546, 0.47948211431503296, 0.4696209132671356, 0.4639967083930969, 0.44798362255096436, 0.4462769329547882, 0.4460960626602173]"
534,"[87101, 296, 262543, 10681, 218, 280, 39254, 91314, 2789, 1858]","[0.5991503000259399, 0.5742963552474976, 0.5087090134620667, 0.5039182901382446, 0.488161563873291, 0.48607102036476135, 0.4660080075263977, 0.46025222539901733, 0.4404829144477844, 0.4400947690010071]"
168259,"[2001, 8292, 12877, 654, 10471, 59440, 270938, 12257, 36597, 7301]","[0.4436306953430176, 0.4413359761238098, 0.4392910599708557, 0.4381069540977478, 0.4341738224029541, 0.42145198583602905, 0.41977089643478394, 0.4122774600982666, 0.4104263186454773, 0.40033966302871704]"
72190,"[287424, 13460, 11683, 11306, 206213, 58431, 312793, 1562, 11954, 4858]","[0.5445916056632996, 0.5436874628067017, 0.5381462574005127, 0.5169277787208557, 0.5132892727851868, 0.5032317638397217, 0.49816447496414185, 0.48900777101516724, 0.48821526765823364, 0.48222512006759644]"
127585,"[246655, 36657, 70981, 166424, 2135, 49538, 36668, 2789, 9954, 271110]","[0.4974669814109802, 0.4966408610343933, 0.47991830110549927, 0.47640955448150635, 0.47538018226623535, 0.4720720648765564, 0.46914899349212646, 0.46378153562545776, 0.45606768131256104, 0.4559229612350464]"
54138,"[13475, 168, 152, 157, 199, 16320, 154, 190859, 201, 174]","[0.6462237238883972, 0.6409391760826111, 0.5786240100860596, 0.567051887512207, 0.5543946623802185, 0.5504204034805298, 0.5418480038642883, 0.5286173820495605, 0.5280091762542725, 0.5234897136688232]"
81005,"[102651, 62177, 257932, 188207, 62204, 68735, 20542, 11253, 10199, 16353]","[0.5350046157836914, 0.5084061026573181, 0.5066439509391785, 0.5027296543121338, 0.5021239519119263, 0.4996708929538727, 0.49527400732040405, 0.4937388598918915, 0.4902229905128479, 0.4901289939880371]"
64682,"[10461, 176077, 2185, 18734, 14160, 768, 11004, 58224, 34653, 43947]","[0.4974297285079956, 0.46683910489082336, 0.460120290517807, 0.45642393827438354, 0.4515843391418457, 0.4478268623352051, 0.4431190490722656, 0.44223105907440186, 0.43796175718307495, 0.4372684359550476]"
9543,"[9626, 20542, 848, 274854, 81005, 24126, 14411, 11253, 1995, 1579]","[0.5016461610794067, 0.4977632462978363, 0.48956525325775146, 0.4802061915397644, 0.4762815833091736, 0.47424569725990295, 0.4637024998664856, 0.4552318751811981, 0.45431429147720337, 0.4529641270637512]"
68726,"[315011, 54138, 61984, 81005, 608, 64686, 13475, 14113, 75612, 16320]","[0.5167368650436401, 0.4985911250114441, 0.49170345067977905, 0.48582449555397034, 0.47180044651031494, 0.45157957077026367, 0.44928672909736633, 0.44702649116516113, 0.4427482485771179, 0.4396160840988159]"
38356,"[1858, 8373, 91314, 10681, 667, 5137, 11954, 10208, 8427, 646]","[0.6333673000335693, 0.5893089771270752, 0.575884222984314, 0.5192337036132812, 0.49173465371131897, 0.4490396976470947, 0.4470510184764862, 0.4450686573982239, 0.44459205865859985, 0.44237202405929565]"
217,"[1734, 76285, 5137, 9804, 32657, 96, 6171, 818, 10136, 11969]","[0.5057215690612793, 0.4478088319301605, 0.4468171000480652, 0.4414098858833313, 0.4367486238479614, 0.4218142032623291, 0.41742590069770813, 0.4163200259208679, 0.4143367409706116, 0.4118313491344452]"
105864,"[12144, 18162, 78394, 9825, 10567, 9607, 1735, 77951, 10643, 37958]","[0.5729779005050659, 0.4680631756782532, 0.4591188132762909, 0.4442126750946045, 0.43599075078964233, 0.42974478006362915, 0.41825568675994873, 0.4134993255138397, 0.4048070013523102, 0.4027116298675537]"
62177,"[102651, 81005, 188207, 40914, 44638, 14442, 18320, 76341, 8095, 4523]","[0.5501633286476135, 0.5084061026573181, 0.47479885816574097, 0.46550697088241577, 0.4547223150730133, 0.45316749811172485, 0.4494101405143738, 0.4372309446334839, 0.4359257221221924, 0.43412333726882935]"
188927,"[16320, 168, 173, 157336, 68179, 10384, 199, 192577, 152, 2756]","[0.5837883949279785, 0.5331421494483948, 0.531624436378479, 0.5310906171798706, 0.5273501873016357, 0.5149086713790894, 0.5064557790756226, 0.5061185359954834, 0.5048703551292419, 0.49447348713874817]"
